Emp_ID,Age,Age_Group,Attrition,Department,Education_Field,Employee_Count,Gender,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Salary_Slab,Separation_Reason,Years_At_Company,State
E1001,50,50-59,Yes,HR,Arts,1,Male,HR Executive,2,Single,36815,30001-40k,Termination,14,Maharashtra
E1002,36,30-39,Yes,Marketing,Science,1,Female,Marketing Analyst,1,Married,14802,10001-20k,Better Opportunity,18,Haryana
E1003,29,20-29,No,Logistics,Arts,1,Male,Supply Chain Manager,3,Married,49230,40001-50k,,5,Delhi
E1004,42,40-49,No,HR,Management,1,Female,HR Executive,4,Divorced,18780,10001-20k,,18,Gujarat
E1005,40,40-49,No,HR,Science,1,Male,HR Executive,3,Single,13235,10001-20k,,27,Maharashtra
E1006,44,40-49,No,Manufacturing,Arts,1,Female,Production Worker,2,Single,8500,7k-10k,,16,Haryana
E1007,32,30-39,No,HR,Commerce,1,Female,HR Executive,2,Married,24465,20001-30k,,18,Haryana
E1008,32,30-39,No,Manufacturing,Management,1,Female,Production Worker,2,Married,14994,10001-20k,,30,Haryana
E1009,45,40-49,No,Sales,Management,1,Male,Sales Manager,1,Divorced,10531,10001-20k,,10,Uttar Pradesh
E1010,57,50-59,No,Sales,Management,1,Female,Sales Executive,3,Single,16343,10001-20k,,14,Tamil Nadu
E1011,45,40-49,Yes,Marketing,Science,1,Male,Marketing Analyst,4,Married,15627,10001-20k,Layoff,9,Delhi
E1012,24,20-29,No,Accounts,Technical,1,Female,Accountant,3,Divorced,13229,10001-20k,,22,Maharashtra
E1013,43,40-49,No,Accounts,Science,1,Female,Accountant,4,Single,16855,10001-20k,,2,Madhya Pradesh
E1014,23,20-29,No,Accounts,Arts,1,Female,Accountant,3,Single,13439,10001-20k,,2,Maharashtra
E1015,45,40-49,No,Manufacturing,Technical,1,Female,Production Worker,2,Married,10769,10001-20k,,17,Gujarat
E1016,51,50-59,No,Logistics,Arts,1,Female,Logistics Executive,4,Divorced,14966,10001-20k,,24,Maharashtra
E1017,59,50-59,No,Logistics,Technical,1,Male,Supply Chain Manager,3,Married,15636,10001-20k,,19,Haryana
E1018,23,20-29,Yes,Marketing,Science,1,Male,Marketing Analyst,1,Divorced,8680,7k-10k,Termination,28,Uttar Pradesh
E1019,42,40-49,No,Logistics,Management,1,Male,Supply Chain Manager,1,Single,16524,10001-20k,,21,West Bengal
E1020,54,50-59,No,Accounts,Commerce,1,Female,Finance Analyst,3,Divorced,15904,10001-20k,,14,Maharashtra
E1021,33,30-39,No,Accounts,Management,1,Female,Accountant,2,Divorced,7533,7k-10k,,9,Gujarat
E1022,43,40-49,Yes,HR,Science,1,Male,HR Executive,4,Divorced,11019,10001-20k,Termination,20,Gujarat
E1023,46,40-49,No,Logistics,Technical,1,Female,Supply Chain Manager,3,Divorced,15103,10001-20k,,28,Uttar Pradesh
E1024,48,40-49,Yes,Sales,Management,1,Female,Sales Manager,1,Divorced,15475,10001-20k,Retirement,31,Haryana
E1025,49,40-49,No,Sales,Science,1,Female,Sales Manager,4,Married,18158,10001-20k,,9,Gujarat
E1026,37,30-39,No,HR,Arts,1,Male,HR Executive,1,Divorced,14382,10001-20k,,12,Haryana
E1027,36,30-39,No,HR,Commerce,1,Male,HR Executive,1,Divorced,22090,20001-30k,,22,Gujarat
E1028,24,20-29,No,HR,Management,1,Male,HR Manager,3,Single,22915,20001-30k,,22,Haryana
E1029,58,50-59,No,Sales,Technical,1,Male,Sales Executive,1,Divorced,48477,40001-50k,,30,Gujarat
E1030,28,20-29,Yes,Accounts,Arts,1,Male,Accountant,4,Single,7338,7k-10k,Termination,3,Haryana
E1031,42,40-49,Yes,HR,Science,1,Female,HR Manager,2,Married,16740,10001-20k,Layoff,2,Gujarat
E1032,30,30-39,No,Marketing,Commerce,1,Female,Marketing Analyst,3,Married,14481,10001-20k,,20,West Bengal
E1033,39,30-39,No,Manufacturing,Technical,1,Female,Plant Manager,4,Divorced,22029,20001-30k,,1,Gujarat
E1034,25,20-29,No,HR,Science,1,Female,HR Manager,3,Married,19237,10001-20k,,3,Haryana
E1035,46,40-49,No,Manufacturing,Science,1,Male,Plant Manager,1,Divorced,12198,10001-20k,,0,Karnataka
E1036,35,30-39,Yes,Research,Management,1,Male,Research Associate,1,Married,17318,10001-20k,Resignation,14,Uttar Pradesh
E1037,30,30-39,No,HR,Management,1,Female,HR Manager,4,Divorced,9060,7k-10k,,32,Telangana
E1038,47,40-49,No,Sales,Technical,1,Male,Sales Executive,4,Divorced,28961,20001-30k,,5,Tamil Nadu
E1039,23,20-29,No,Logistics,Science,1,Female,Supply Chain Manager,2,Single,33835,30001-40k,,6,Maharashtra
E1040,41,40-49,No,HR,Management,1,Female,HR Executive,4,Single,34725,30001-40k,,18,Haryana
E1041,49,40-49,No,Logistics,Commerce,1,Female,Supply Chain Manager,4,Single,32357,30001-40k,,0,West Bengal
E1042,28,20-29,No,Research,Commerce,1,Female,Research Scientist,3,Single,8244,7k-10k,,18,Delhi
E1043,29,20-29,Yes,Marketing,Science,1,Male,Marketing Analyst,1,Divorced,12683,10001-20k,Better Opportunity,25,Tamil Nadu
E1044,56,50-59,Yes,Logistics,Management,1,Female,Logistics Executive,4,Married,12319,10001-20k,Layoff,11,Uttar Pradesh
E1045,35,30-39,No,Manufacturing,Technical,1,Male,Production Worker,2,Divorced,13490,10001-20k,,21,West Bengal
E1046,38,30-39,No,Accounts,Technical,1,Female,Accountant,4,Single,10306,10001-20k,,12,Uttar Pradesh
E1047,57,50-59,Yes,HR,Technical,1,Female,HR Manager,1,Single,12839,10001-20k,Layoff,27,Telangana
E1048,25,20-29,No,Research,Commerce,1,Female,Research Associate,4,Married,31992,30001-40k,,13,Tamil Nadu
E1049,23,20-29,No,Research,Management,1,Female,Research Associate,3,Single,11112,10001-20k,,21,Maharashtra
E1050,27,20-29,No,Logistics,Management,1,Male,Logistics Executive,1,Divorced,11574,10001-20k,,29,Gujarat
E1051,25,20-29,No,Marketing,Commerce,1,Female,Marketing Manager,4,Divorced,16588,10001-20k,,19,Haryana
E1052,50,50-59,No,Sales,Technical,1,Male,Sales Manager,3,Divorced,9431,7k-10k,,26,Maharashtra
E1053,39,30-39,No,HR,Technical,1,Female,HR Manager,1,Divorced,16237,10001-20k,,33,Gujarat
E1054,47,40-49,Yes,Research,Science,1,Female,Research Scientist,4,Divorced,7726,7k-10k,Better Opportunity,0,Uttar Pradesh
E1055,55,50-59,No,Marketing,Arts,1,Female,Marketing Analyst,3,Married,13064,10001-20k,,14,Maharashtra
E1056,31,30-39,No,Accounts,Management,1,Male,Finance Analyst,2,Divorced,31260,30001-40k,,31,Uttar Pradesh
